stop_id,stop_city
2457,Olympic Valley
2462,Olympic Valley
2446,Idlewild
2504930,Crystal Bay
2450,Tahoe City
2466,Tahoe Vista
2504936,Truckee
2504925,Carnelian Bay
13593,Carson City
2469,Tahoe Vista
2504934,Idlewild
2477,Carson City
2504927,Tahoe Vista
2454,Alpine Meadows
2456,Olympic Valley
2504931,Tahoe City
2504932,Truckee
2467,Tahoe Vista
2465,Tahoe Vista
2475,Tahoe Vista
2455,Olympic Valley
2473,Tahoe Vista
2472,Tahoe Vista
2451,Tahoe City
4689,Olympic Valley
2504924,Carson City
2504933,Truckee
2460,Alpine Meadows
2483,Incline Village
4690,Carson City
2459,Olympic Valley
4380,Incline Village
2504935,Tahoe City
2468,Tahoe Vista
2504929,Tahoe Vista
2453,Cedar Flat
2463,Reno
2474,Tahoe Vista
2458,Olympic Valley
2504926,Tahoe Vista
2470,Tahoe Vista
2480,Crystal Bay
2504928,Cedar Flat
2471,Tahoe Vista
2449,Tahoe City
405,Olympic Valley
509,Tahoe Vista
224,Tahoe Vista
116,Homewood
222,Tahoe Vista
309,Crystal Bay
240,Tahoe Vista
2934,Norden
126,Homewood
628,Truckee
327,Brockway
221,Tahoe Vista
2936,Donner
304,Crystal Bay
618,Truckee
215,Cedar Flat
139,Idlewild
403,Alpine Meadows
2960,Norden
404,Olympic Valley
619,Truckee
123,Meeks Bay
636,Truckee
230,Brockway
243,Cedar Flat
252,Cedar Flat
3045,Truckee
411,Truckee
2961,Norden
3018,Donner
302,Crystal Bay
117,Homewood
201,Tahoe City
206,Cedar Flat
505,Truckee
611,Truckee
615,Truckee
257,Tahoe City
246,Cedar Flat
1733,Crystal Bay
100,Tahoe City
132,Homewood
622,Truckee
504,Carson City
507,Truckee
137,Idlewild
409,Truckee
317,Incline Village
511,Truckee
325,Crystal Bay
637,Truckee
624,Truckee
235,Tahoe Vista
300,Crystal Bay
635,Truckee
625,Truckee
118,Homewood
322,Crystal Bay
203,Tahoe City
308,Incline Village
218,Tahoe Vista
223,Tahoe Vista
612,Truckee
1692,Tahoe City
402,Alpine Meadows
239,Tahoe Vista
639,Truckee
2935,Donner
128,Homewood
608,Truckee
401,Alpine Meadows
324,Crystal Bay
634,Truckee
114,Homewood
311,Incline Village
237,Tahoe Vista
307,Crystal Bay
250,Cedar Flat
145,Idlewild
124,Homewood
233,Tahoe Vista
3047,Truckee
320,Crystal Bay
500,Tahoe Vista
512,Truckee
229,Brockway
323,Crystal Bay
326,Crystal Bay
210,Cedar Flat
144,Idlewild
219,Tahoe Vista
406,Olympic Valley
245,Cedar Flat
140,Idlewild
112,Idlewild
131,Homewood
138,Idlewild
621,Truckee
1747,Crystal Bay
510,Tahoe Vista
631,Truckee
141,Idlewild
310,Crystal Bay
2937,Donner
227,Brockway
414,Truckee
109,Idlewild
413,Truckee
204,Cedar Flat
640,Truckee
134,Idlewild
319,Incline Village
2957,Donner
506,Truckee
623,Truckee
104,Idlewild
254,Cedar Flat
633,Truckee
111,Idlewild
416,Olympic Valley
629,Truckee
2931,Soda Springs
220,Tahoe Vista
205,Cedar Flat
225,Tahoe Vista
241,Tahoe Vista
314,Incline Village
617,Truckee
211,Cedar Flat
251,Cedar Flat
105,Idlewild
306,Crystal Bay
238,Tahoe Vista
301,Crystal Bay
601,Truckee
119,Meeks Bay
143,Idlewild
606,Truckee
213,Cedar Flat
508,Tahoe Vista
280,Kings Beach
400,Alpine Meadows
242,Cedar Flat
313,Crystal Bay
616,Truckee
103,Idlewild
120,Meeks Bay
410,Truckee
133,Idlewild
107,Idlewild
113,Idlewild
3014,Norden
303,Crystal Bay
312,Crystal Bay
408,Alpine Meadows
604,Truckee
412,Truckee
605,Truckee
236,Tahoe Vista
3049,Incline Village
256,Tahoe City
217,Tahoe Vista
2933,Soda Springs
121,Meeks Bay
630,Truckee
125,Homewood
135,Idlewild
258,Tahoe City
228,Brockway
106,Idlewild
234,Tahoe Vista
122,Meeks Bay
2958,Norden
600,Truckee
2956,Norden
208,Cedar Flat
609,Truckee
108,Idlewild
2932,Norden
3015,Truckee
638,Truckee
321,Crystal Bay
613,Truckee
318,Incline Village
305,Crystal Bay
602,Truckee
202,Tahoe City
244,Cedar Flat
1760,Brockway
3007,Donner
315,Incline Village
226,Brockway
627,Truckee
626,Truckee
102,Idlewild
614,Truckee
231,Brockway
632,Truckee
620,Truckee
603,Truckee
2959,Norden
214,Cedar Flat
503,Carnelian Bay
115,Homewood
101,Idlewild
212,Cedar Flat
127,Homewood
610,Truckee
136,Idlewild
253,Cedar Flat
216,Cedar Flat
232,Tahoe Vista
501,Tahoe Vista
248,Cedar Flat
407,Olympic Valley
316,Incline Village
415,Alpine Meadows
130,Homewood
607,Truckee
247,Cedar Flat
249,Cedar Flat
2227,Truckee
142,Idlewild
502,Tahoe Vista
2091,Meeks Bay
