trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_drop_off_window,end_pickup_drop_off_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_1249579_b_81456_tn_0,08:30:00,08:30:00,100,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1249579_b_81456_tn_0,08:36:00,08:36:00,401,2,,0,0,6513.14861328758,1,,,,,1,1,,,,,,,,,,,
t_1249579_b_81456_tn_0,08:39:00,08:39:00,402,3,,0,0,8784.79453515419,1,,,,,1,1,,,,,,,,,,,
t_1249579_b_81456_tn_0,,,403,4,,0,0,9183.85401593279,0,,,,,1,1,,,,,,,,,,,
t_1249579_b_81456_tn_0,,,404,5,,0,0,11660.2975915257,0,,,,,1,1,,,,,,,,,,,
t_1249579_b_81456_tn_0,08:44:00,08:44:00,405,6,,0,0,12289.5868730509,1,,,,,1,1,,,,,,,,,,,
t_1249579_b_81456_tn_0,08:46:00,08:46:00,406,7,,0,0,12749.8992193572,1,,,,,1,1,,,,,,,,,,,
t_1249579_b_81456_tn_0,08:50:00,08:50:00,407,8,,0,0,15494.0695234595,1,,,,,1,1,,,,,,,,,,,
t_1249579_b_81456_tn_0,08:52:00,08:52:00,408,9,,0,0,16127.3923126987,1,,,,,1,1,,,,,,,,,,,
t_1249579_b_81456_tn_0,09:00:00,09:00:00,409,10,,0,0,29218.8436181104,1,,,,,1,1,,,,,,,,,,,
t_1249579_b_81456_tn_0,,,410,11,,0,0,29647.715983321,0,,,,,1,1,,,,,,,,,,,
t_1249579_b_81456_tn_0,09:02:00,09:02:00,411,12,,0,0,30175.815905348,1,,,,,1,1,,,,,,,,,,,
t_1249579_b_81456_tn_0,,,611,13,,0,0,30428.779315474,0,,,,,1,1,,,,,,,,,,,
t_1249579_b_81456_tn_0,09:03:00,09:03:00,612,14,,0,0,30821.2678592316,1,,,,,1,1,,,,,,,,,,,
t_1249579_b_81456_tn_0,09:10:00,09:10:00,2227,15,,0,0,32313.76310908,1,,,,,1,1,,,,,,,,,,,
t_1249587_b_81456_tn_0,17:30:00,17:30:00,614,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1249587_b_81456_tn_0,17:31:00,17:31:00,636,2,,0,0,234.201806709574,1,,,,,1,1,,,,,,,,,,,
t_1249587_b_81456_tn_0,17:32:00,17:32:00,637,3,,0,0,945.805725279941,1,,,,,1,1,,,,,,,,,,,
t_1249587_b_81456_tn_0,17:36:00,17:36:00,633,4,,0,0,2840.12882133988,1,,,,,1,1,,,,,,,,,,,
t_1249587_b_81456_tn_0,17:37:00,17:37:00,634,5,,0,0,3616.80226302757,1,,,,,1,1,,,,,,,,,,,
t_1249587_b_81456_tn_0,17:38:00,17:38:00,639,6,,0,0,3912.75786693951,1,,,,,1,1,,,,,,,,,,,
t_1249587_b_81456_tn_0,17:39:00,17:39:00,615,7,,0,0,4436.19345035638,1,,,,,1,1,,,,,,,,,,,
t_1249587_b_81456_tn_0,17:40:00,17:40:00,616,8,,0,0,4853.71374446568,1,,,,,1,1,,,,,,,,,,,
t_1249587_b_81456_tn_0,17:42:00,17:42:00,617,9,,0,0,5857.45113481317,1,,,,,1,1,,,,,,,,,,,
t_1249587_b_81456_tn_0,17:43:00,17:43:00,618,10,,0,0,6659.14018526749,1,,,,,1,1,,,,,,,,,,,
t_1249587_b_81456_tn_0,17:45:00,17:45:00,2227,11,,0,0,7673.90023731985,1,,,,,1,1,,,,,,,,,,,
t_1249587_b_81456_tn_0,17:45:00,17:46:00,600,12,,0,0,7676.62334073356,1,,,,,1,1,,,,,,,,,,,
t_1249587_b_81456_tn_0,17:47:00,17:47:00,619,13,,0,0,9213.80580197657,1,,,,,1,1,,,,,,,,,,,
t_1249587_b_81456_tn_0,17:48:00,17:48:00,620,14,,0,0,9530.32159434754,1,,,,,1,1,,,,,,,,,,,
t_1249587_b_81456_tn_0,,,621,15,,0,0,9792.50208388741,0,,,,,1,1,,,,,,,,,,,
t_1249587_b_81456_tn_0,17:50:00,17:50:00,622,16,,0,0,9978.07656498245,1,,,,,1,1,,,,,,,,,,,
t_1249587_b_81456_tn_0,,,623,17,,0,0,10267.7305158396,0,,,,,1,1,,,,,,,,,,,
t_1249587_b_81456_tn_0,17:51:00,17:51:00,624,18,,0,0,10716.3621528709,1,,,,,1,1,,,,,,,,,,,
t_1249587_b_81456_tn_0,17:52:00,17:52:00,625,19,,0,0,11017.6241074269,1,,,,,1,1,,,,,,,,,,,
t_1249587_b_81456_tn_0,17:54:00,17:54:00,626,20,,0,0,12022.9346584916,1,,,,,1,1,,,,,,,,,,,
t_1249587_b_81456_tn_0,,,627,21,,0,0,12530.9409945623,0,,,,,1,1,,,,,,,,,,,
t_1249587_b_81456_tn_0,,,628,22,,0,0,12995.420243179,0,,,,,1,1,,,,,,,,,,,
t_1249587_b_81456_tn_0,17:56:00,17:56:00,629,23,,0,0,13699.3045769008,1,,,,,1,1,,,,,,,,,,,
t_1249587_b_81456_tn_0,,,630,24,,0,0,16570.7693001456,0,,,,,1,1,,,,,,,,,,,
t_1249587_b_81456_tn_0,,,631,25,,0,0,16831.5847410988,0,,,,,1,1,,,,,,,,,,,
t_1249587_b_81456_tn_0,18:00:00,18:00:00,632,26,,0,0,17211.35366401,1,,,,,1,1,,,,,,,,,,,
t_1249588_b_81456_tn_0,18:00:00,18:00:00,632,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1249588_b_81456_tn_0,,,602,2,,0,0,769.584959694213,0,,,,,1,1,,,,,,,,,,,
t_1249588_b_81456_tn_0,,,603,3,,0,0,3273.55519853204,0,,,,,1,1,,,,,,,,,,,
t_1249588_b_81456_tn_0,,,604,4,,0,0,4203.91840489482,0,,,,,1,1,,,,,,,,,,,
t_1249588_b_81456_tn_0,18:05:00,18:05:00,605,5,,0,0,5194.70465788886,1,,,,,1,1,,,,,,,,,,,
t_1249588_b_81456_tn_0,18:06:00,18:06:00,606,6,,0,0,5781.11028849965,1,,,,,1,1,,,,,,,,,,,
t_1249588_b_81456_tn_0,18:07:00,18:07:00,607,7,,0,0,6511.75445518226,1,,,,,1,1,,,,,,,,,,,
t_1249588_b_81456_tn_0,18:08:00,18:08:00,608,8,,0,0,6859.61912722599,1,,,,,1,1,,,,,,,,,,,
t_1249588_b_81456_tn_0,,,609,9,,0,0,7292.79213744033,0,,,,,1,1,,,,,,,,,,,
t_1249588_b_81456_tn_0,18:09:00,18:09:00,610,10,,0,0,7509.27613856146,1,,,,,1,1,,,,,,,,,,,
t_1249588_b_81456_tn_0,,,412,11,,0,0,7867.24600068883,0,,,,,1,1,,,,,,,,,,,
t_1249588_b_81456_tn_0,18:11:00,18:11:00,3045,12,,0,0,8619.72345937173,1,,,,,1,1,,,,,,,,,,,
t_1249588_b_81456_tn_0,,,410,13,,0,0,8808.5766133923,0,,,,,1,1,,,,,,,,,,,
t_1249588_b_81456_tn_0,18:13:00,18:13:00,611,14,,0,0,9583.65519201028,1,,,,,1,1,,,,,,,,,,,
t_1249588_b_81456_tn_0,18:14:00,18:14:00,612,15,,0,0,9978.08621003547,1,,,,,1,1,,,,,,,,,,,
t_1249588_b_81456_tn_0,18:24:00,18:24:00,2227,16,,0,0,11470.581459809,1,,,,,1,1,,,,,,,,,,,
t_1249588_b_81456_tn_0,18:25:00,18:25:00,638,17,,0,0,12033.5860538192,1,,,,,1,1,,,,,,,,,,,
t_1249588_b_81456_tn_0,18:26:00,18:26:00,640,18,,0,0,13046.6811260315,1,,,,,1,1,,,,,,,,,,,
t_1249588_b_81456_tn_0,18:27:00,18:27:00,613,19,,0,0,13521.743614326,1,,,,,1,1,,,,,,,,,,,
t_1249588_b_81456_tn_0,18:30:00,18:30:00,614,20,,0,0,15029.55930048,1,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,08:10:00,08:10:00,123,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,124,2,,0,0,1518.18950266984,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,08:12:00,08:12:00,125,3,,0,0,1744.13411361074,1,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,126,4,,0,0,2242.38339628313,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,127,5,,0,0,2521.54139956063,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,128,6,,0,0,3035.1897970733,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,08:14:00,08:14:00,130,7,,0,0,4694.55414649754,1,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,131,8,,0,0,5084.72301633909,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,132,9,,0,0,5303.24122059591,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,133,10,,0,0,6864.46668970708,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,08:16:00,08:16:00,134,11,,0,0,7320.64527811423,1,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,135,12,,0,0,8543.13142502371,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,136,13,,0,0,9273.53126997331,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,137,14,,0,0,10113.3498854624,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,08:21:00,08:21:00,138,15,,0,0,10982.9636580608,1,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,139,16,,0,0,11719.0770311826,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,140,17,,0,0,12183.6329535492,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,141,18,,0,0,13311.8361366607,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,142,19,,0,0,13907.4375334937,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,143,20,,0,0,14139.3521659677,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,144,21,,0,0,14515.7975059668,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,08:27:00,08:27:00,1692,22,,0,0,14915.4896458509,1,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,08:30:00,08:30:00,100,23,,0,0,15044.1314041068,1,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,08:33:00,08:33:00,201,24,,0,0,15862.4560347902,1,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,202,25,,0,0,16528.7695864022,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,203,26,,0,0,16779.6048138044,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,204,27,,0,0,17862.76324297,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,205,28,,0,0,18347.4934176836,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,08:39:00,08:39:00,206,29,,0,0,18604.3468439755,1,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,08:41:00,08:41:00,208,30,,0,0,19470.4784904687,1,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,210,31,,0,0,20298.6055836539,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,211,32,,0,0,21136.394752233,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,08:42:00,08:42:00,212,33,,0,0,22428.1834542402,1,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,213,34,,0,0,23425.4599105781,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,08:44:00,08:44:00,214,35,,0,0,24918.9809363494,1,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,215,36,,0,0,25162.6542149587,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,216,37,,0,0,25354.6946710878,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,217,38,,0,0,26580.1733765772,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,08:46:00,08:46:00,218,39,,0,0,27632.0777889384,1,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,219,40,,0,0,28304.9273286493,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,220,41,,0,0,28683.3990274732,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,221,42,,0,0,29039.2205674986,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,222,43,,0,0,29525.3547673964,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,08:52:00,08:52:00,224,44,,0,0,30786.9870667501,1,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,225,45,,0,0,31048.3521204901,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,226,46,,0,0,31343.3079250756,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,227,47,,0,0,31631.6697065501,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,228,48,,0,0,32016.939294933,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,08:56:00,08:56:00,1733,49,,0,0,33407.3866058202,1,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,09:00:00,09:00:00,300,50,,0,0,33412.7973244557,1,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,301,51,,0,0,34879.4602340593,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,302,52,,0,0,36225.1659246203,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,303,53,,0,0,37117.4375541323,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,304,54,,0,0,37472.5135285673,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,305,55,,0,0,38393.7383851311,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,09:05:00,09:05:00,306,56,,0,0,38802.7443881499,1,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,09:07:00,09:07:00,307,57,,0,0,39638.3979366184,1,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,308,58,,0,0,39961.6022649124,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,09:08:00,09:08:00,309,59,,0,0,40331.4971231955,1,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,310,60,,0,0,40629.3029660935,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,311,61,,0,0,41095.3446784261,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,,,312,62,,0,0,41657.1315367058,0,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,09:12:00,09:12:00,1747,63,,0,0,41975.4306163118,1,,,,,1,1,,,,,,,,,,,
t_1249590_b_81456_tn_0,09:20:00,09:20:00,3049,64,,0,0,43965.13030284,1,,,,,1,1,,,,,,,,,,,
t_1249591_b_81456_tn_0,09:10:00,09:10:00,123,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1249591_b_81456_tn_0,,,124,2,,0,0,1518.18950266984,0,,,,,1,1,,,,,,,,,,,
t_1249591_b_81456_tn_0,09:12:00,09:12:00,125,3,,0,0,1744.13411361074,1,,,,,1,1,,,,,,,,,,,
t_1249591_b_81456_tn_0,,,126,4,,0,0,2242.38339628313,0,,,,,1,1,,,,,,,,,,,
t_1249591_b_81456_tn_0,,,127,5,,0,0,2521.54139956063,0,,,,,1,1,,,,,,,,,,,
t_1249591_b_81456_tn_0,,,128,6,,0,0,3035.1897970733,0,,,,,1,1,,,,,,,,,,,
t_1249591_b_81456_tn_0,09:14:00,09:14:00,130,7,,0,0,4694.55414649754,1,,,,,1,1,,,,,,,,,,,
t_1249591_b_81456_tn_0,,,131,8,,0,0,5084.72301633909,0,,,,,1,1,,,,,,,,,,,
t_1249591_b_81456_tn_0,,,132,9,,0,0,5303.24122059591,0,,,,,1,1,,,,,,,,,,,
t_1249591_b_81456_tn_0,,,133,10,,0,0,6864.46668970708,0,,,,,1,1,,,,,,,,,,,
t_1249591_b_81456_tn_0,09:16:00,09:16:00,134,11,,0,0,7320.64527811423,1,,,,,1,1,,,,,,,,,,,
t_1249591_b_81456_tn_0,,,135,12,,0,0,8543.13142502371,0,,,,,1,1,,,,,,,,,,,
t_1249591_b_81456_tn_0,,,136,13,,0,0,9273.53126997331,0,,,,,1,1,,,,,,,,,,,
t_1249591_b_81456_tn_0,,,137,14,,0,0,10113.3498854624,0,,,,,1,1,,,,,,,,,,,
