timetable_id,stop_id,stop_sequence,stop_name,connected_routes
4160,327,1,Hwy 28 at Stateline Rd (Shelter) - Depart,"CB/Crystal Bay to Olympic Valley PM, Hwy267/Highway 267 AM/PM, ML/Mainline AM/PM, NSPM/Hwy 267 PM"
4160,231,2,Hwy 28 at Raccoon St The Grid,"CB/Crystal Bay to Olympic Valley PM, Hwy267/Highway 267 AM/PM, ML/Mainline AM/PM, NSPM/Hwy 267 PM"
4160,234,3,Hwy 28 at Secline St,"CB/Crystal Bay to Olympic Valley PM, Hwy267/Highway 267 AM/PM, ML/Mainline AM/PM, NSPM/Hwy 267 PM"
4160,502,4,Hwy 267 and Stewart Way,"Hwy267/Highway 267 AM/PM, NSPM/Hwy 267 PM"
4160,503,5,Sawmill Heights ,"Hwy267/Highway 267 AM/PM, NSPM/Hwy 267 PM, TNSPM/Truckee/Northstar PM"
4160,504,6,Northstar Village Gate # 8,"Hwy267/Highway 267 AM/PM, NSPM/Hwy 267 PM, TNSPM/Truckee/Northstar PM"
4160,513,7,Meadow View Place,Hwy267/Highway 267 AM/PM
4160,506,8,Airport,Hwy267/Highway 267 AM/PM
4160,512,9,Raleys Northbound,Hwy267/Highway 267 AM/PM
4160,615,10,Brockway Rd at The Rock (Fifty-Fifty),"Hwy267/Highway 267 AM/PM, TLR/Truckee Local, TNSPM/Truckee/Northstar PM"
4160,2227,11,Truckee Depot - Arrive,"Hwy267/Highway 267 AM/PM, Hwy89/Highway 89 AM/PM, TLR/Truckee Local, TNSPM/Truckee/Northstar PM, TSQPM/Truckee/Olympic Valley PM"
4161,600,1,Truckee Depot - Depart,"DSR/Donner Summit Shuttle, Hwy267/Highway 267 AM/PM, Hwy89/Highway 89 AM/PM, TLR/Truckee Local, TNSPM/Truckee/Northstar PM, TSQPM/Truckee/Olympic Valley PM"
4161,635,2,Across from Best Western,"Hwy267/Highway 267 AM/PM, TNSPM/Truckee/Northstar PM"
4161,511,3,Raley's Southbound,Hwy267/Highway 267 AM/PM
4161,506,4,Airport,Hwy267/Highway 267 AM/PM
4161,513,5,Meadow View Place,Hwy267/Highway 267 AM/PM
4161,504,6,Northstar Village Gate # 8,"Hwy267/Highway 267 AM/PM, NSPM/Hwy 267 PM, TNSPM/Truckee/Northstar PM"
4161,503,7,Sawmill Heights ,"Hwy267/Highway 267 AM/PM, NSPM/Hwy 267 PM, TNSPM/Truckee/Northstar PM"
4161,508,8,Hwy 267 and Stewart Way,"Hwy267/Highway 267 AM/PM, NSPM/Hwy 267 PM"
4161,224,9,Hwy 28 at Secline St,"CB/Crystal Bay to Olympic Valley PM, Hwy267/Highway 267 AM/PM, ML/Mainline AM/PM, NSPM/Hwy 267 PM"
4161,226,10,Hwy 28 at Raccoon St (Lakeside),"CB/Crystal Bay to Olympic Valley PM, Hwy267/Highway 267 AM/PM, ML/Mainline AM/PM, NSPM/Hwy 267 PM"
4161,1733,11,Hwy 28 at Crystal Bay Club (Shelter) - Arrive,"CB/Crystal Bay to Olympic Valley PM, Hwy267/Highway 267 AM/PM, ML/Mainline AM/PM, NSPM/Hwy 267 PM"
4162,100,1,Tahoe City Transit Center - Depart,"CB/Crystal Bay to Olympic Valley PM, Hwy89/Highway 89 AM/PM, ML/Mainline AM/PM, WSN/Westshore PM"
4162,401,2,Hwy 89 at Alpine Meadows Rd (River Ranch),"CB/Crystal Bay to Olympic Valley PM, Hwy89/Highway 89 AM/PM"
4162,402,3,Olympic Valley Rd at 7-11 Driveway (Shelter),"CB/Crystal Bay to Olympic Valley PM, Hwy89/Highway 89 AM/PM, TSQPM/Truckee/Olympic Valley PM"
4162,405,4,Olympic Valley Clock Tower,"CB/Crystal Bay to Olympic Valley PM, Hwy89/Highway 89 AM/PM, TSQPM/Truckee/Olympic Valley PM"
4162,406,5,Village at Palisades Tahoe - East,"CB/Crystal Bay to Olympic Valley PM, Hwy89/Highway 89 AM/PM, TSQPM/Truckee/Olympic Valley PM"
4162,407,6,Olympic Valley Rd at Squaw Creek Rd (Shelter) EB,"CB/Crystal Bay to Olympic Valley PM, Hwy89/Highway 89 AM/PM, TSQPM/Truckee/Olympic Valley PM"
4162,408,7,Olympic Valley Rd at New Park (Near Entrance),"CB/Crystal Bay to Olympic Valley PM, Hwy89/Highway 89 AM/PM, TSQPM/Truckee/Olympic Valley PM"
4162,409,8,Hwy 89 West River Mousehole,"Hwy89/Highway 89 AM/PM, TSQPM/Truckee/Olympic Valley PM"
4162,411,9,Hwy 89 at Bank of America (old CHP office),Hwy89/Highway 89 AM/PM
4162,612,10,Donner Pass Rd at Tahoe Forest Cancer Center,"Hwy89/Highway 89 AM/PM, TLR/Truckee Local, TSQPM/Truckee/Olympic Valley PM"
4162,2227,11,Truckee Depot - Arrive,"Hwy267/Highway 267 AM/PM, Hwy89/Highway 89 AM/PM, TLR/Truckee Local, TNSPM/Truckee/Northstar PM, TSQPM/Truckee/Olympic Valley PM"
4163,600,1,Truckee Depot - Depart,"DSR/Donner Summit Shuttle, Hwy267/Highway 267 AM/PM, Hwy89/Highway 89 AM/PM, TLR/Truckee Local, TNSPM/Truckee/Northstar PM, TSQPM/Truckee/Olympic Valley PM"
4163,619,2,Donner Pass Rd at Tahoe Forest Medical Offices,"Hwy89/Highway 89 AM/PM, TLR/Truckee Local, TSQPM/Truckee/Olympic Valley PM"
4163,620,3,Donner Pass Rd at Gateway Center (Safeway Bus Shelter),"Hwy89/Highway 89 AM/PM, TLR/Truckee Local, TSQPM/Truckee/Olympic Valley PM"
4163,413,4,Hwy 89 at Deerfield Dr (Crossroad Driveway),"Hwy89/Highway 89 AM/PM, TSQPM/Truckee/Olympic Valley PM"
4163,414,5,Hwy 89 Across from West River St (Trailer Park),"Hwy89/Highway 89 AM/PM, TSQPM/Truckee/Olympic Valley PM"
4163,402,6,Olympic Valley Rd at 7-11 Driveway (Shelter),"CB/Crystal Bay to Olympic Valley PM, Hwy89/Highway 89 AM/PM, TSQPM/Truckee/Olympic Valley PM"
4163,405,7,Olympic Valley Clock Tower,"CB/Crystal Bay to Olympic Valley PM, Hwy89/Highway 89 AM/PM, TSQPM/Truckee/Olympic Valley PM"
4163,406,8,Village at Palisades Tahoe - East,"CB/Crystal Bay to Olympic Valley PM, Hwy89/Highway 89 AM/PM, TSQPM/Truckee/Olympic Valley PM"
4163,407,9,Olympic Valley Rd at Squaw Creek Rd (Shelter) EB,"CB/Crystal Bay to Olympic Valley PM, Hwy89/Highway 89 AM/PM, TSQPM/Truckee/Olympic Valley PM"
4163,408,10,Olympic Valley Rd at New Park (Near Entrance),"CB/Crystal Bay to Olympic Valley PM, Hwy89/Highway 89 AM/PM, TSQPM/Truckee/Olympic Valley PM"
4163,415,11,Hwy 89 at Alpine Meadows Rd (River Ranch),"CB/Crystal Bay to Olympic Valley PM, Hwy89/Highway 89 AM/PM"
4163,1692,12,Tahoe City Transit Center - Arrive,"CB/Crystal Bay to Olympic Valley PM, Hwy89/Highway 89 AM/PM, ML/Mainline AM/PM, WSN/Westshore PM"
4164,123,1,Sugar Pine Point State Park,ML/Mainline AM/PM
4164,125,2,Hwy 89 at PDQ Market,"ML/Mainline AM/PM, WSN/Westshore PM"
4164,130,3,Hwy 89 at Homewood Obexer's Market,"ML/Mainline AM/PM, WSN/Westshore PM"
4164,134,4,Hwy 89 at Grand Ave,"ML/Mainline AM/PM, WSN/Westshore PM"
4164,138,5,Hwy 89 at Sunnyside Ln,"ML/Mainline AM/PM, WSN/Westshore PM"
4164,1692,6,Tahoe City Transit Center - Arrive,"CB/Crystal Bay to Olympic Valley PM, Hwy89/Highway 89 AM/PM, ML/Mainline AM/PM, WSN/Westshore PM"
4164,100,7,Tahoe City Transit Center - Depart,"CB/Crystal Bay to Olympic Valley PM, Hwy89/Highway 89 AM/PM, ML/Mainline AM/PM, WSN/Westshore PM"
4164,201,8,Hwy 28 at Mackinaw (Bus Shelter),"CB/Crystal Bay to Olympic Valley PM, ML/Mainline AM/PM"
4164,206,9,Hwy 28 at Lake Forest Rd (West End),"CB/Crystal Bay to Olympic Valley PM, ML/Mainline AM/PM"
4164,208,10,Hwy 28 at Lake Forest Rd (East End),"CB/Crystal Bay to Olympic Valley PM, ML/Mainline AM/PM"
4164,212,11,Hwy 28 Lardin Way Lakeside,"CB/Crystal Bay to Olympic Valley PM, ML/Mainline AM/PM"
4164,214,12,Hwy 28 at Gar Woods East Parking Lot,"CB/Crystal Bay to Olympic Valley PM, ML/Mainline AM/PM"
4164,218,13,Hwy 28 at Stag Dr - Lakeside,"CB/Crystal Bay to Olympic Valley PM, ML/Mainline AM/PM"
4164,224,14,Hwy 28 at Secline St,"CB/Crystal Bay to Olympic Valley PM, Hwy267/Highway 267 AM/PM, ML/Mainline AM/PM, NSPM/Hwy 267 PM"
4164,1733,15,Hwy 28 at Crystal Bay Club (Shelter) - Arrive,"CB/Crystal Bay to Olympic Valley PM, Hwy267/Highway 267 AM/PM, ML/Mainline AM/PM, NSPM/Hwy 267 PM"
4164,300,16,HWY 28 Crystal Bay Club (Shelter) - Depart,ML/Mainline AM/PM
4164,306,17,Hwy 28 at Toepa,ML/Mainline AM/PM
4164,307,18,Hwy 28 at Village Blvd,ML/Mainline AM/PM
4164,309,19,Southwood Skate Park at Hwy 28,ML/Mainline AM/PM
4164,1747,20,Lakeshore Dr at Country Club Dr (Hyatt) - Arrive,ML/Mainline AM/PM
4164,3049,21,Tunnel Creek Bonanza (Arrive),ML/Mainline AM/PM
4165,314,1,Tunnel Creek Bonanza (Depart),ML/Mainline AM/PM
4165,310,2,Southwood at Bowl Incline,ML/Mainline AM/PM
4165,311,3,Village Blvd at Juanita Rd,ML/Mainline AM/PM
4165,313,4,Lakeshore Dr at Country Club Dr (Hyatt) - Depart,ML/Mainline AM/PM
4165,317,5,Hwy 28 at Country Club By Fairway,ML/Mainline AM/PM
4165,319,6,Hwy 28 at Raley's Shopping Center,ML/Mainline AM/PM
4165,1760,7,Hwy 28 at Stateline Rd (Shelter) - Arrive,ML/Mainline AM/PM
4165,327,8,Hwy 28 at Stateline Rd (Shelter) - Depart,"CB/Crystal Bay to Olympic Valley PM, Hwy267/Highway 267 AM/PM, ML/Mainline AM/PM, NSPM/Hwy 267 PM"
4165,230,9,Hwy 28 at Fox St,"CB/Crystal Bay to Olympic Valley PM, Hwy267/Highway 267 AM/PM, ML/Mainline AM/PM, NSPM/Hwy 267 PM"
4165,236,10,Hwy 28 at Pino Grande Ave (Shelter),"CB/Crystal Bay to Olympic Valley PM, ML/Mainline AM/PM"
4165,242,11,Hwy 28 at Sahara Dr,"CB/Crystal Bay to Olympic Valley PM, ML/Mainline AM/PM"
4165,246,12,Hwy 28 at Ridgewood Rd,"CB/Crystal Bay to Olympic Valley PM, ML/Mainline AM/PM"
4165,252,13,Hwy 28 at Burton Creek,"CB/Crystal Bay to Olympic Valley PM, ML/Mainline AM/PM"
4165,258,14,Hwy 28 at Tahoe City WYE,"CB/Crystal Bay to Olympic Valley PM, ML/Mainline AM/PM"
4165,1692,15,Tahoe City Transit Center - Arrive,"CB/Crystal Bay to Olympic Valley PM, Hwy89/Highway 89 AM/PM, ML/Mainline AM/PM, WSN/Westshore PM"
4165,100,16,Tahoe City Transit Center - Depart,"CB/Crystal Bay to Olympic Valley PM, Hwy89/Highway 89 AM/PM, ML/Mainline AM/PM, WSN/Westshore PM"
4165,105,17,Hwy 89 at Pine Ave,"ML/Mainline AM/PM, WSN/Westshore PM"
4165,112,18,Hwy 89 at Grand Ave,"ML/Mainline AM/PM, WSN/Westshore PM"
4165,114,19,Hwy 89 at Homewood Ski Area,"ML/Mainline AM/PM, WSN/Westshore PM"
4165,2091,20,Sugar Pine Point State Park,ML/Mainline AM/PM
4166,632,1,Donner Pass Rd at South Shore Dr (Bus Shelter),TLR/Truckee Local
4166,605,2,Donner Pass Rd at Donner Memorial State Park,TLR/Truckee Local
4166,606,3,Donner Pass Rd Cold Stream Rd,"DSR/Donner Summit Shuttle, TLR/Truckee Local"
