service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
261.0.1,1,1,1,1,1,0,0,20231030,20240112
261.0.2,0,0,0,0,0,1,0,20231104,20240113
261.0.3,0,0,0,0,0,0,1,20231105,20240114
261.100.1,1,1,0,1,0,0,0,20231030,20240111
261.101.1,0,1,1,0,1,0,0,20231101,20240112
261.102.1,1,0,1,0,1,0,0,20231030,20240112
261.103.1,0,1,1,1,1,0,0,20231031,20240111
261.108.1,0,1,0,1,0,0,0,20231031,20240111
261.109.1,1,1,1,0,1,0,0,20231030,20240112
261.1175.1,1,1,1,1,1,0,0,20231110,20240108
261.120.1,0,1,1,0,1,0,0,20231101,20240110
261.121.1,0,0,1,0,1,0,0,20231101,20231215
261.131.1,1,1,1,1,1,0,0,20231030,20240112
261.1421.3,0,0,0,1,0,0,0,20231123,20231123
261.150.1,1,1,1,1,1,0,0,20231030,20240112
261.152.1,0,0,1,0,1,0,0,20231101,20240112
261.1545.1,1,1,0,1,0,0,0,20231030,20240111
261.155.1,0,0,1,0,1,0,0,20231101,20231215
261.1566.1,1,1,1,1,1,0,0,20231030,20240112
261.1567.1,1,1,1,1,0,0,0,20231030,20231207
261.157.1,0,0,1,0,1,0,0,20231101,20240112
261.159.1,1,1,1,1,1,0,0,20231030,20240112
261.160.1,0,1,1,1,1,0,0,20231110,20240105
261.161.1,0,0,1,0,1,0,0,20231101,20231215
261.1660.2,0,0,0,0,0,1,0,20240106,20240106
261.1660.3,1,0,0,0,0,0,1,20231225,20240107
261.171.1,1,1,1,1,1,0,0,20231030,20240112
261.173.1,1,1,0,1,0,0,0,20231030,20240111
261.176.1,1,0,0,0,0,0,0,20231030,20240108
261.177.1,0,1,1,1,1,0,0,20231031,20240112
261.178.1,1,1,1,1,1,0,0,20231030,20240112
261.1780.1,1,1,1,1,1,0,0,20231030,20231116
261.1780.2,0,0,0,0,0,1,0,20231104,20231111
261.1780.3,0,0,0,0,0,0,1,20231105,20231112
261.1785.1,1,1,1,1,1,0,0,20231117,20240112
261.1785.2,0,0,0,0,0,1,0,20231118,20240113
261.179.1,0,1,1,1,1,0,0,20231110,20240105
261.180.1,0,0,1,0,1,0,0,20231101,20240112
261.181.1,1,1,1,1,1,0,0,20231030,20240111
261.182.1,1,1,0,1,0,0,0,20231030,20240112
261.1826.1,1,1,1,0,1,0,0,20231030,20240112
261.1827.1,1,1,0,0,1,0,0,20231030,20240112
261.1828.1,0,0,0,1,0,0,0,20231102,20240111
261.1843.1,1,1,1,0,1,0,0,20231030,20240112
261.191.1,1,1,0,1,0,0,0,20231030,20240111
261.1919.1,1,1,1,1,1,0,0,20231030,20240112
261.1921.1,0,1,1,1,1,0,0,20231101,20240109
261.1923.1,1,1,1,1,1,0,0,20231110,20240108
261.1924.1,0,1,1,1,1,0,0,20231110,20240105
261.1926.1,1,1,1,1,1,0,0,20231030,20240112
261.1927.1,1,1,1,1,1,0,0,20231110,20240108
261.193.1,0,0,1,0,1,0,0,20231101,20240112
261.2068.1,1,1,1,1,1,0,0,20231030,20240112
261.2069.1,1,1,1,1,1,0,0,20231030,20240112
261.2070.1,1,1,0,1,0,0,0,20231030,20240112
261.2071.1,1,0,0,0,0,0,0,20231030,20231218
261.2075.1,1,1,1,1,1,0,0,20231030,20240112
261.2082.1,1,1,1,1,1,0,0,20231030,20240112
261.2093.1,0,1,1,1,1,0,0,20231031,20240112
261.2152.1,0,0,1,0,1,0,0,20231101,20240112
261.2153.1,1,1,0,1,0,0,0,20231030,20240111
261.2179.1,1,1,1,1,1,0,0,20231110,20240109
261.2321.1,1,1,1,1,1,0,0,20231110,20240109
261.2348.1,1,1,1,1,1,0,0,20231030,20240112
261.2349.1,1,1,1,1,1,0,0,20231030,20240112
261.2491.1,0,0,0,1,0,0,0,20231102,20240111
261.2561.1,0,0,1,0,0,0,0,20231101,20240110
261.2562.1,1,1,1,1,1,0,0,20231030,20240112
261.262.1,1,1,1,1,1,0,0,20231030,20240111
261.2658.3,0,0,0,0,0,0,1,20231119,20240114
261.2734.1,1,1,1,1,1,0,0,20231110,20240105
261.2735.1,0,1,1,1,1,0,0,20231101,20240111
261.327.1,1,1,1,1,1,0,0,20231030,20240112
261.408.2,0,0,0,0,0,1,0,20240106,20240106
261.408.3,0,0,0,0,0,0,1,20231119,20240107
261.57.1,0,1,0,1,0,0,0,20231031,20240111
261.58.1,1,1,1,0,1,0,0,20231030,20240112
261.59.1,0,0,1,0,1,0,0,20231101,20240112
261.62.1,0,0,1,0,1,0,0,20231101,20240112
261.64.1,1,1,1,1,1,0,0,20231030,20240112
261.65.1,0,1,1,1,1,0,0,20231101,20240105
261.66.1,0,0,1,0,0,0,0,20231108,20240110
261.67.1,1,1,1,1,1,0,0,20231030,20240112
261.745.1,1,0,0,0,0,0,0,20231030,20231211
261.746.1,1,0,0,0,0,0,0,20231030,20231211
261.76.1,1,1,0,1,1,0,0,20231030,20240112
261.79.1,0,1,0,1,0,0,0,20231031,20231214
261.80.1,1,1,0,1,0,0,0,20231030,20240112
261.87.1,0,0,1,0,1,0,0,20231101,20231215
261.89.1,1,1,0,1,0,0,0,20231030,20240112
261.897.1,0,0,1,0,1,0,0,20231101,20231215
261.901.1,1,1,1,1,1,0,0,20231030,20240112
261.905.1,1,1,1,1,1,0,0,20231030,20240112
261.96.1,0,1,0,1,0,0,0,20231031,20240111
261.98.1,0,0,1,0,1,0,0,20231101,20240112
