service_id,date,exception_type
261.0.1,20231123,2
261.0.1,20231225,2
261.0.1,20240101,2
261.0.3,20231123,1
261.0.3,20231225,1
261.0.3,20240101,1
261.100.1,20231106,2
261.100.1,20231121,2
261.100.1,20231123,2
261.100.1,20231218,2
261.100.1,20231219,2
261.100.1,20231221,2
261.100.1,20231225,2
261.100.1,20231226,2
261.100.1,20231228,2
261.100.1,20240101,2
261.100.1,20240102,2
261.100.1,20240104,2
261.101.1,20231106,1
261.101.1,20231218,1
261.101.1,20231221,1
261.101.1,20231228,1
261.101.1,20240104,1
261.101.1,20231107,2
261.101.1,20231114,2
261.101.1,20231128,2
261.101.1,20231205,2
261.101.1,20231212,2
261.101.1,20240109,2
261.102.1,20231121,1
261.102.1,20231110,2
261.102.1,20231120,2
261.102.1,20231122,2
261.102.1,20231124,2
261.102.1,20231218,2
261.102.1,20231220,2
261.102.1,20231222,2
261.102.1,20231225,2
261.102.1,20231227,2
261.102.1,20231229,2
261.102.1,20240101,2
261.102.1,20240103,2
261.102.1,20240105,2
261.103.1,20231120,1
261.103.1,20231218,1
261.103.1,20231101,2
261.103.1,20231103,2
261.103.1,20231108,2
261.103.1,20231115,2
261.103.1,20231117,2
261.103.1,20231121,2
261.103.1,20231123,2
261.103.1,20231129,2
261.103.1,20231201,2
261.103.1,20231206,2
261.103.1,20231208,2
261.103.1,20231213,2
261.103.1,20231215,2
261.103.1,20240110,2
261.108.1,20231120,1
261.108.1,20231121,2
261.108.1,20231123,2
261.108.1,20231219,2
261.108.1,20231221,2
261.108.1,20231226,2
261.108.1,20231228,2
261.108.1,20240102,2
261.108.1,20240104,2
261.109.1,20231221,1
261.109.1,20231228,1
261.109.1,20240104,1
261.109.1,20231031,2
261.109.1,20231107,2
261.109.1,20231114,2
261.109.1,20231120,2
261.109.1,20231128,2
261.109.1,20231205,2
261.109.1,20231212,2
261.109.1,20231225,2
261.109.1,20240101,2
261.109.1,20240109,2
261.1175.1,20231114,2
261.1175.1,20231115,2
261.1175.1,20231116,2
261.1175.1,20231117,2
261.1175.1,20231123,2
261.1175.1,20231127,2
261.1175.1,20231128,2
261.1175.1,20231129,2
261.1175.1,20231130,2
261.1175.1,20231201,2
261.1175.1,20231204,2
261.1175.1,20231205,2
261.1175.1,20231206,2
261.1175.1,20231207,2
261.1175.1,20231208,2
261.1175.1,20231211,2
261.1175.1,20231212,2
261.1175.1,20231213,2
261.1175.1,20231214,2
261.1175.1,20231215,2
261.1175.1,20231218,2
261.1175.1,20231219,2
261.1175.1,20231220,2
261.1175.1,20231221,2
261.1175.1,20231222,2
261.1175.1,20231225,2
261.1175.1,20240101,2
261.120.1,20231120,1
261.120.1,20231218,1
261.120.1,20231221,1
261.120.1,20231228,1
261.120.1,20240104,1
261.120.1,20240108,1
261.120.1,20231103,2
261.120.1,20231107,2
261.120.1,20231114,2
261.120.1,20231117,2
261.120.1,20231128,2
261.120.1,20231201,2
261.120.1,20231205,2
261.120.1,20231208,2
261.120.1,20231212,2
261.120.1,20231215,2
261.120.1,20240109,2
261.121.1,20231107,1
261.121.1,20231109,1
261.121.1,20231108,2
261.121.1,20231110,2
261.121.1,20231122,2
261.121.1,20231124,2
261.131.1,20231110,2
261.131.1,20231122,2
261.131.1,20231123,2
261.131.1,20231124,2
261.131.1,20231225,2
261.131.1,20231226,2
261.131.1,20231227,2
261.131.1,20231228,2
261.131.1,20231229,2
261.131.1,20240101,2
261.131.1,20240102,2
261.131.1,20240103,2
261.131.1,20240104,2
261.131.1,20240105,2
261.150.1,20231110,2
261.150.1,20231113,2
261.150.1,20231120,2
261.150.1,20231121,2
261.150.1,20231122,2
261.150.1,20231123,2
261.150.1,20231124,2
261.150.1,20231225,2
261.150.1,20231226,2
261.150.1,20231227,2
261.150.1,20231228,2
261.150.1,20231229,2
261.150.1,20240101,2
261.150.1,20240102,2
261.150.1,20240103,2
261.150.1,20240104,2
261.150.1,20240105,2
261.150.1,20240108,2
261.152.1,20231106,1
261.152.1,20231219,1
261.152.1,20231110,2
261.152.1,20231122,2
261.152.1,20231124,2
261.152.1,20231220,2
261.152.1,20231222,2
261.152.1,20231227,2
261.152.1,20231229,2
261.152.1,20240103,2
261.152.1,20240105,2
261.1545.1,20231106,2
261.1545.1,20231121,2
261.1545.1,20231123,2
261.1545.1,20231218,2
261.1545.1,20231219,2
261.1545.1,20231221,2
261.1545.1,20231225,2
261.1545.1,20231226,2
261.1545.1,20231228,2
261.1545.1,20240101,2
261.1545.1,20240102,2
261.1545.1,20240104,2
261.155.1,20231107,1
261.155.1,20231109,1
261.155.1,20231108,2
261.155.1,20231110,2
261.155.1,20231122,2
261.155.1,20231124,2
261.1566.1,20231110,2
261.1566.1,20231113,2
261.1566.1,20231120,2
261.1566.1,20231121,2
261.1566.1,20231122,2
261.1566.1,20231123,2
261.1566.1,20231124,2
261.1566.1,20231225,2
261.1566.1,20231226,2
261.1566.1,20231227,2
261.1566.1,20231228,2
261.1566.1,20231229,2
261.1566.1,20240101,2
261.1566.1,20240102,2
261.1566.1,20240103,2
261.1566.1,20240104,2
261.1566.1,20240105,2
261.1566.1,20240108,2
261.1567.1,20231123,2
261.157.1,20231106,1
261.157.1,20231219,1
261.157.1,20231110,2
261.157.1,20231122,2
261.157.1,20231124,2
261.157.1,20231220,2
261.157.1,20231222,2
261.157.1,20231227,2
261.157.1,20231229,2
261.157.1,20240103,2
261.157.1,20240105,2
261.159.1,20231110,2
261.159.1,20231123,2
261.159.1,20231124,2
261.159.1,20231221,2
261.159.1,20231222,2
261.159.1,20231225,2
261.159.1,20231226,2
261.159.1,20231227,2
261.159.1,20231228,2
261.159.1,20231229,2
261.159.1,20240101,2
261.159.1,20240102,2
261.159.1,20240103,2
261.159.1,20240104,2
261.159.1,20240105,2
261.160.1,20231114,2
261.160.1,20231115,2
261.160.1,20231116,2
261.160.1,20231117,2
261.160.1,20231121,2
261.160.1,20231122,2
261.160.1,20231123,2
261.160.1,20231128,2
261.160.1,20231129,2
261.160.1,20231130,2
261.160.1,20231201,2
261.160.1,20231205,2
261.160.1,20231206,2
261.160.1,20231207,2
261.160.1,20231208,2
261.160.1,20231212,2
261.160.1,20231213,2
261.160.1,20231214,2
261.160.1,20231215,2
261.160.1,20231219,2
261.160.1,20231220,2
261.161.1,20231107,1
261.161.1,20231109,1
261.161.1,20231108,2
261.161.1,20231110,2
261.161.1,20231122,2
261.161.1,20231124,2
261.1660.3,20231231,2
261.1660.3,20240101,2
261.171.1,20231110,2
261.171.1,20231123,2
261.171.1,20231124,2
261.171.1,20231221,2
261.171.1,20231222,2
261.171.1,20231225,2
261.171.1,20231226,2
261.171.1,20231227,2
261.171.1,20231228,2
261.171.1,20231229,2
261.171.1,20240101,2
261.171.1,20240102,2
261.171.1,20240103,2
261.171.1,20240104,2
261.171.1,20240105,2
261.173.1,20231106,2
261.173.1,20231121,2
261.173.1,20231123,2
261.173.1,20231218,2
261.173.1,20231219,2
261.173.1,20231221,2
261.173.1,20231225,2
261.173.1,20231226,2
261.173.1,20231228,2
261.173.1,20240101,2
261.173.1,20240102,2
261.173.1,20240104,2
261.176.1,20231120,2
261.176.1,20231218,2
261.176.1,20231225,2
261.176.1,20240101,2
261.177.1,20231120,1
261.177.1,20231218,1
261.177.1,20231123,2
261.178.1,20231110,2
261.178.1,20231123,2
261.178.1,20231124,2
261.178.1,20231218,2
261.178.1,20231219,2
261.178.1,20231220,2
261.178.1,20231221,2
261.178.1,20231222,2
261.178.1,20231225,2
261.178.1,20231226,2
261.178.1,20231227,2
261.178.1,20231228,2
261.178.1,20231229,2
261.178.1,20240101,2
261.178.1,20240102,2
261.178.1,20240103,2
261.178.1,20240104,2
261.178.1,20240105,2
261.1785.1,20231123,2
261.1785.1,20231225,2
261.1785.1,20240101,2
261.179.1,20231218,1
261.179.1,20231114,2
261.179.1,20231115,2
